uid;source;target;weight;timestamp
287;PROPFIND,/lobcder/dav/skoulouz;PROPFIND,/lobcder/dav/skoulouz/16workers_600k_1024Users;15;2013-12-16 11:40:22
290;GET,/lobcder/dav/skoulouz/authUsersTime.png;GET,/lobcder/dav/skoulouz/lobcder-usage.png;6;2013-11-05 11:23:05
291;GET,/lobcder/dav/skoulouz/lobcder-usage.png;GET,/lobcder/dav/skoulouz/cumulativeDataTransfers.png;7;2013-11-05 11:23:05
294;PROPFIND,/lobcder/dav;PROPFIND,/lobcder/dav/STH;13;2013-12-23 15:44:44
295;PROPFIND,/lobcder/dav/STH;PROPFIND,/lobcder/dav;11;2013-12-12 16:29:58
298;PROPFIND,/lobcder/dav/deb_test;PROPFIND,/lobcder/dav/deb_test;39;2014-01-16 13:16:04
299;PROPFIND,/lobcder/dav/deb_test;PROPFIND,/lobcder/dav;30;2014-01-15 11:37:29
303;PROPFIND,/lobcder/dav;PROPFIND,/lobcder/dav/aneurist;433;2014-01-14 16:58:47
304;PROPFIND,/lobcder/dav/aneurist;PROPFIND,/lobcder/dav;258;2014-01-14 16:58:47
308;PROPFIND,/lobcder/dav/aneurist;PROPFIND,/lobcder/dav/aneurist;289;2013-12-12 15:21:03
311;PROPFIND,/lobcder/dav;MKCOL,/lobcder/dav/666;11;2013-10-08 14:50:23
312;MKCOL,/lobcder/dav/666;PROPFIND,/lobcder/dav;10;2013-10-08 15:03:06
315;DELETE,/lobcder/dav/666;PROPFIND,/lobcder/dav;12;2013-10-08 15:03:36
316;PROPFIND,/lobcder/dav;DELETE,/lobcder/dav/666;7;2013-10-08 15:03:35
340;PUT,/lobcder/dav/aneurist/666/NeckSelection_outputSurfaceMesh.vtk;PUT,/lobcder/dav/aneurist/666/RingCut_outputSurfaceMesh.vtk;5;2013-10-07 11:49:01
403;PROPFIND,/lobcder/dav;PROPFIND,/lobcder/dav/deb_test;40;2014-01-15 09:56:47
425;PROPFIND,/lobcder/dav/aneurist;OPTIONS,/lobcder/dav;37;2013-12-13 00:39:42
426;PROPFIND,/lobcder/dav/aneurist;GET,/lobcder/dav/aneurist/RingCut_outputSurfaceMesh.vtk;118;2013-12-13 10:21:30
